log_id,date_bogota,category,title,cause_event_consequence,probability,impact,owner,trigger_or_evidence,response_or_decision,contingency,status
"CTL-018","2026-08-27","RISK","Spanish activity and advertising classification unresolved","The brief and automatic notes use companionship and escort terminology but do not establish the exact contractual service; Spanish advertising law may materially affect the release","occurred","critical","Luis/Spanish counsel","compliance/ue-es/applicability-matrix.md and F-d0ddd59b09a70c2e","Keep publication indexing real profiles contact and commercial claims disabled; require written scope-specific Spanish legal review","Redesign or stop public promotion if counsel does not approve the exact release","OPEN"
"CTL-019","2026-08-27","CHANGE","Integrated fail-closed public vertical","The user requested at least 50 percent project execution while external content legal and infrastructure remain unavailable","occurred","high","Codex","home cities profiles detail contact legal routes plus 102 tests responsive synthetic preview and production holding HTTP evidence","Integrated a local responsive flow behind a production holding boundary with honest states gated legal/contact noindex and empty sitemap","Continue real content only after required external decisions","CLOSED"
"CTL-020","2026-08-27","ISSUE","Vinext client Link navigation failed","Vinext 1.0.0-beta.3 threw prefetch and click runtime errors for next/link","occurred","high","Codex","Chromium console and failed navigation smoke","Use scoped native anchors on public navigation and record the compatibility exception; retest produced navigation with zero console errors","Re-evaluate when Vinext is upgraded","MITIGATED"
"CTL-021","2026-08-27","ISSUE","Browser GET form emitted empty optional filters","HTML GET submission included blank controls while the strict parser originally rejected one empty value","occurred","medium","Codex","Chromium filter smoke","Treat one blank supported value as absent while continuing to reject duplicates unknown keys and ambiguous integers; regression added","Retest filters after route changes","CLOSED"
"CTL-022","2026-08-27","ISSUE","Contact flags could bypass aggregate release gate","An adversarial build showed that contact and privacy flags plus a valid URL exposed a channel while legal and release gates remained blocked","occurred","high","Codex/independent auditor","read-only adversarial HTTP test","Require aggregate release plus contact plus privacy gates; added two regressions and rebuilt; two independent fresh-server HTTP retests expose no destination","Keep a negative runtime test in every release","CLOSED"
"CTL-023","2026-08-27","ISSUE","Vinext real preview was not operational","The original development runtime continued showing the holding when the draft UI was requested","occurred","high","Codex","initial runtime development check plus later isolated-preview Chromium evidence","Added explicit loopback-only synthetic preview command and route; verified 320-1920 reflow and 404 from production while keeping the public release fail-closed","Replace with authenticated staging preview only after infrastructure and privacy decisions","CLOSED"
"CTL-024","2026-08-27","CHANGE","Persistent local CMS vertical","The user requested progress to 75 percent while production providers and real content remain unavailable","occurred","high","Codex","persistent repository media store local workbench backup restore 102 tests and Chromium UI flow","Integrated a development-only loopback CMS with roles audit idempotency recoverable archive and safe local persistence; kept it separate from public and production","Select IdP DB object storage encryption retention and run staging UAT before production use","CLOSED"
"CTL-025","2026-08-27","ISSUE","Browser form lost currentTarget after await","Direct browser E2E created a record but the UI failed before reset and refresh because currentTarget became null","occurred","medium","Codex","Chromium TypeError and persisted synthetic record after restart","Captured the form element before awaiting the API; added source regression assertions and repeated browser create/reset successfully","Keep a browser UI smoke in every CMS checkpoint","CLOSED"
"CTL-026","2026-08-27","DECISION","Host remains powered on","The prior shutdown request applied only to the previous night and was explicitly revoked","n/a","critical","Codex","direct user instruction 2026-08-27","Never shut down the PC at task completion unless the user gives a new explicit shutdown instruction","Leave all unrelated host state untouched","ACTIVE"
"CTL-027","2026-08-27","MILESTONE","Execution proxy reached 75 percent","Local implementation QA and handoff depth increased while human legal content visual and infrastructure gates remain open","occurred","high","Codex/Luis","PROJECT_CONTROL.md weighted rubric plus green validate and browser evidence","Record 75/100 execution separately from 2/20 strict verification and maintain public release NO-GO","Re-score only from new evidence; never infer acceptance readiness or legality from the proxy","CLOSED"
"CTL-028","2026-08-27","CHANGE","Local publication candidate and hardening increment","A reviewable transfer boundary and additional defensive controls were needed without activating production","occurred","high","Codex","deterministic candidate export restore regression role projections URL and filesystem guards headers 115 tests and clean package audit","Implement a local-only hashed candidate with productionActivation false and strengthen dependencies headers tokens roles media and backup limits","Require a separate authenticated staging consumer legal/content approval and deployed security review before promotion","CLOSED"
"CTL-029","2026-08-27","DECISION","Create a complete local ZIP after every completed stage","The user requested a recurring recoverable package with very simple website and GitHub upload instructions","n/a","high","Codex","direct user instruction plus STAGE_ARCHIVE_GUIDE.md and create-stage-archive.ps1","Package repository source documentation required client inputs original request inventory hashes exclusions and a plain-language guide; exclude secrets runtime data dependencies builds and Git metadata","Create and independently hash-verify a new non-overwriting ZIP at each stage close; upload only with separate authorization","ACTIVE"
"CTL-030","2026-08-27","MILESTONE","Execution proxy rebaselined below requested 95 percent","Adversarial scoring credited the hardened local checkpoint but external decisions and real-world evidence remain absent","occurred","critical","Codex/Luis","independent 84/100 pre-close audit with 90/100 local ceiling; final commit evidence and ZIP raise the checkpoint rubric","Record 87/100 local weighted execution separately from 2/20 strict verification and keep public release NO-GO","Select the visual target and provide legal content rights infrastructure channels and UAT evidence before any claim at or above 95","CLOSED"
"CTL-031","2026-08-27","ISSUE","pnpm store mismatch triggered runaway dependency recreation","The evidence wrapper invoked pnpm without the dedicated store configuration so verifyDepsBeforeRun attempted an automatic install before lint or tests","occurred","high","Codex","evidence/87-local-checkpoint-pnpm-store-failure/validate.log plus gvs-mismatch.log and targeted process metrics","Stopped only the exact child after 20 minutes and 5.6 GiB private memory; isolated the incomplete node_modules; restored 478 packages from the dedicated local store; made evidence capture verify the active store and required binaries while disabling all automatic dependency mutation","Retain the diagnostic logs; never claim this was a test failure; repeat the full gate on a clean commit","CLOSED"
"CTL-032","2026-08-27","ISSUE","Dependency advisory endpoint blocked inside sandbox","The clean evidence run passed validate but the npm advisories POST returned EACCES after retries","occurred","medium","Codex","evidence/87-local-checkpoint-sandbox-audit-failure/validate.log and pnpm-audit-production.log","Classify the sandbox audit call as NOT_TESTED; preserve its log; repeat the same audit with approved network access without changing lockfile or dependencies","Do not convert a network failure into either a vulnerability finding or a clean SCA result","CLOSED"
"CTL-033","2026-08-27","MILESTONE","Commit-bound local validation evidence captured","The checkpoint required durable proof rather than conversation-only summaries","occurred","high","Codex","evidence/87-local-checkpoint/evidence-manifest.json bound to 8231629f98e4cb2fff4264e9181286cd8dcda466","Recorded lint types 115 tests build and production dependency audit with exit code 0 timestamps environment and SHA-256 logs; retained explicit local-only limits","Re-run on any code lockfile or runtime change; do not infer UAT legal approval deployment or reachability","CLOSED"
"CTL-034","2026-08-28","ISSUE","EasyPanel selected a commit without Dockerfile","EasyPanel downloaded SHA 013307a80242c7961b1f18b2aa4edf0a7adf1ae6 and attempted a root Docker build but that commit contains no Dockerfile","occurred","high","Codex/Luis","EasyPanel build log 2026-08-28 plus local git ancestry inspection","Add a root Dockerfile on the candidate branch and require EasyPanel to select a remote SHA containing it","Keep remote deploy open until authorized push branch selection image build healthcheck and external smoke are verified","OPEN"
"CTL-035","2026-08-28","CHANGE","Add fail-closed Vinext standalone container candidate","The Docker target needed a reproducible Node runtime and Vinext beta omitted React peer packages from standalone output","occurred","high","Codex","159 tests release verify dual artifact reports and loopback standalone smoke","Generate standalone output copy runtime peers remove sourcemaps validate worker and standalone separately and package only a non-root runtime image","Docker engine EasyPanel proxy TLS deployment and external E2E remain NOT_TESTED","CLOSED"
