profile_slug,asset_role,source_path,public_path,prompt_version,generated_at_utc,model,synthetic_confirmed,human_review,legal_review,sha256,notes
sofia,cover,assets/synthetic-profiles/sofia/cover/sofia-cover-v01.png,,pv-derivatives-v1,2026-08-28T02:45:46Z,OpenAI built-in image_gen,YES,PENDING,PENDING,58783F2BD7C0F7D61DF7A8E43E51186C77040ED4674179C70BA98A0D598FD55D,"AI visual preflight PASS; final human and legal review pending"
sofia,gallery-01,assets/synthetic-profiles/sofia/gallery/sofia-gallery-01-v01.png,,pv-derivatives-v1,2026-08-28T02:52:44Z,OpenAI built-in image_gen,YES,PENDING,PENDING,5EF8C55A0F0F86302F560026CE514D2238CCA83600443D57440147530E172976,"AI visual preflight PASS; final human and legal review pending"
sofia,gallery-02,assets/synthetic-profiles/sofia/gallery/sofia-gallery-02-v01.png,,pv-derivatives-v1,2026-08-28T03:01:37Z,OpenAI built-in image_gen,YES,PENDING,PENDING,52E7F1B989382DBC532657D2C4A0C1946CBD11F739CDED5B8902193ADE715039,"AI visual preflight PASS; final human and legal review pending"
sofia,gallery-03,assets/synthetic-profiles/sofia/gallery/sofia-gallery-03-v01.png,,pv-derivatives-v1,2026-08-28T03:09:27Z,OpenAI built-in image_gen,YES,PENDING,PENDING,943F2572405A788A38DB71B9DEFF3C586179BC4B450E12E1EA6770ECBF1C800C,"AI visual preflight PASS; final human and legal review pending"
lucia,cover,assets/synthetic-profiles/lucia/cover/lucia-cover-v01.png,,pv-derivatives-v1,2026-08-28T02:46:42Z,OpenAI built-in image_gen,YES,PENDING,PENDING,3542A2C8C41C024ADB556368CB969EA5FDA610E6EADE15C9230366AD4B292FBE,"AI visual preflight PASS; final human and legal review pending"
lucia,gallery-01,assets/synthetic-profiles/lucia/gallery/lucia-gallery-01-v01.png,,pv-derivatives-v1,2026-08-28T02:53:26Z,OpenAI built-in image_gen,YES,PENDING,PENDING,D65D400DE7A32B7553FD5A936AA3191D7EDFB961886F71F5C62049BF57D3EB8B,"AI visual preflight PASS; final human and legal review pending"
lucia,gallery-02,assets/synthetic-profiles/lucia/gallery/lucia-gallery-02-v01.png,,pv-derivatives-v1,2026-08-28T03:02:30Z,OpenAI built-in image_gen,YES,PENDING,PENDING,E948030D7603BEE0333431B1DCDA1FACAA0AA0A17FA5862077E87DD53D039D27,"AI visual preflight PASS; final human and legal review pending"
lucia,gallery-03,assets/synthetic-profiles/lucia/gallery/lucia-gallery-03-v01.png,,pv-derivatives-v1,2026-08-28T03:10:29Z,OpenAI built-in image_gen,YES,PENDING,PENDING,6316545C7F56F32362F2191D48770889C21C4519A8AAFF90A6F3EDABC1FBADB4,"AI visual preflight PASS; final human and legal review pending"
julia,cover,assets/synthetic-profiles/julia/cover/julia-cover-v01.png,,pv-derivatives-v1,2026-08-28T02:47:39Z,OpenAI built-in image_gen,YES,PENDING,PENDING,F94C6100F68C51531C4E13AAD48B7151B66C7A3ACC91963210560C6F048DA5F7,"AI visual preflight PASS; final human and legal review pending"
julia,gallery-01,assets/synthetic-profiles/julia/gallery/julia-gallery-01-v01.png,,pv-derivatives-v1,2026-08-28T02:54:21Z,OpenAI built-in image_gen,YES,PENDING,PENDING,7528DF9E03681377A8D8EE88B6D111FFD975AC94A815BDAEB38A33DDB33A92EA,"AI visual preflight PASS; final human and legal review pending"
julia,gallery-02,assets/synthetic-profiles/julia/gallery/julia-gallery-02-v01.png,,pv-derivatives-v1,2026-08-28T03:06:48Z,OpenAI built-in image_gen,YES,PENDING,PENDING,ADCBCA7BD26EB6C985D9CEF572B823E2A414BA926A89803DF98C725224D3F14D,"AI visual preflight PASS; final human and legal review pending"
julia,gallery-03,assets/synthetic-profiles/julia/gallery/julia-gallery-03-v01.png,,pv-derivatives-v1,2026-08-28T03:11:23Z,OpenAI built-in image_gen,YES,PENDING,PENDING,C7FB89273F741D6F179BE9CA89F45B0F989C28E21890609892E5E3A83C2CB7EE,"AI visual preflight PASS; final human and legal review pending"
mia,cover,assets/synthetic-profiles/mia/cover/mia-cover-v01.png,,pv-derivatives-v1,2026-08-28T02:48:27Z,OpenAI built-in image_gen,YES,PENDING,PENDING,C08199F0684FB1B09BC454710096404F0CCB15681FF0FAA322E3C193AD8B8365,"AI visual preflight PASS; final human and legal review pending"
mia,gallery-01,assets/synthetic-profiles/mia/gallery/mia-gallery-01-v01.png,,pv-derivatives-v1,2026-08-28T02:55:15Z,OpenAI built-in image_gen,YES,PENDING,PENDING,5B39B6C952168E309AF8609F7145903748812C4E379C2777ADA8658AD3DA151C,"AI visual preflight PASS; final human and legal review pending"
mia,gallery-02,assets/synthetic-profiles/mia/gallery/mia-gallery-02-v01.png,,pv-derivatives-v1,2026-08-28T03:03:27Z,OpenAI built-in image_gen,YES,PENDING,PENDING,48E8AB422858F987575BD4DBC2A06E7B9463C9ADE840EC639B9B4120986138BE,"AI visual preflight PASS; final human and legal review pending"
mia,gallery-03,assets/synthetic-profiles/mia/gallery/mia-gallery-03-v01.png,,pv-derivatives-v1,2026-08-28T03:12:20Z,OpenAI built-in image_gen,YES,PENDING,PENDING,FEFB991B23EB196542C4FA803D48322B021D04C010E2F4A21A5D91A013631D56,"AI visual preflight PASS; final human and legal review pending"
alicia,cover,assets/synthetic-profiles/alicia/cover/alicia-cover-v01.png,,pv-derivatives-v1,2026-08-28T02:49:33Z,OpenAI built-in image_gen,YES,PENDING,PENDING,9F37091732FB4823B5F5C77FA219B13499DFAF20BAFAF62292F74C35B3AE0A7B,"AI visual preflight PASS; final human and legal review pending"
alicia,gallery-01,assets/synthetic-profiles/alicia/gallery/alicia-gallery-01-v01.png,,pv-derivatives-v1,2026-08-28T02:55:52Z,OpenAI built-in image_gen,YES,PENDING,PENDING,2241BDCE55CF84AF451270B7F5A4B1CC95234153EDB89FC60B1CC7F85647F715,"AI visual preflight PASS; final human and legal review pending"
alicia,gallery-02-rejected,assets/synthetic-profiles/alicia/gallery/alicia-gallery-02-v01.png,,pv-derivatives-v1,2026-08-28T03:04:23Z,OpenAI built-in image_gen,YES,PENDING,PENDING,746ACC709B69DF06082DEA26D90CE6F4EEF9195BC3125FBB0A2EEED230FA893B,"Technical preflight FAIL: 1085x1450 is not exact 3:4; superseded by v02; do not integrate"
alicia,gallery-03,assets/synthetic-profiles/alicia/gallery/alicia-gallery-03-v01.png,,pv-derivatives-v1,2026-08-28T03:13:03Z,OpenAI built-in image_gen,YES,PENDING,PENDING,BF4EA985E8FD51EBA72FA9F57E16E63E87A8F371D7B496BE6AC6EB53BC867F16,"AI visual preflight PASS; final human and legal review pending"
alicia,gallery-02,assets/synthetic-profiles/alicia/gallery/alicia-gallery-02-v02.png,,pv-derivatives-v1,2026-08-28T03:20:22Z,OpenAI built-in image_gen,YES,PENDING,PENDING,29681D876A5B09F3D55F58B1188F87BC5E8BDBD8771320430C95C292A6383471,"AI visual and technical preflight PASS; replaces non-3:4 v01; final human and legal review pending"
