key,group,master_path,selected_path,public_path,derivative_generated_at_utc,generator,source_sha256,selected_sha256,source_dimensions,selected_dimensions,synthetic_confirmed,technical_review,human_review,legal_review
preferences-silk-envelope,private-preferences,assets/synthetic-services/master/preferences-silk-envelope-v01.png,assets/synthetic-services/selected/preferences-silk-envelope-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,D26433F44249F2EFAFC75966C5A17341CECDCBF6B7EFD5380738213C6E25CE6A,C5304D1FB994649E182A1B1BC79098ECDBFF025C0FB0FB6190BD8E856D7A3529,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
preferences-choice-boxes,private-preferences,assets/synthetic-services/master/preferences-choice-boxes-v01.png,assets/synthetic-services/selected/preferences-choice-boxes-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,031C6E531D7A1A8105240B3AE2C2C6A64B2E09A59E6D3B91302F5C13698EB5AE,FF686C381FD5D554E3C16C1D8830E806D0F9092B037CCB44BA4C917944B51250,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
company-women-companionship,company,assets/synthetic-services/master/company-women-companionship-v01.png,assets/synthetic-services/selected/company-women-companionship-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,D720D0CA2195E628A6676C5F4D1DCA0199C9D0963F8AC8BB5C7BB7892A48D19E,FB4DC3A37C11C8010096CE5D35141ADDE4DE360FB0E591CC7FFA82BDFF124415,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
couples-partner-companionship,couples,assets/synthetic-services/master/couples-partner-companionship-v01.png,assets/synthetic-services/selected/couples-partner-companionship-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,31EAB65A625227D7A9600993DB6B79A5F083D5C66AC561895BAFD32DAA4317EE,B622A77322FC214973A96A769D2362557D1917F5A17DF2A4527D6A137933E3A7,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
preferences-agreed-intimacy,private-preferences,assets/synthetic-services/master/preferences-agreed-intimacy-v01.png,assets/synthetic-services/selected/preferences-agreed-intimacy-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,2838C3CCF4F2BB9C7C9C82F96BBC6081A8F28DE561C5289E16E14AD6CC88C35F,D4F55DF67F070A2CF0969BD169AA3F20C6911518DC080E7F94DF55A700856BB4,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
roleplay-personal-fantasy,roleplay,assets/synthetic-services/master/roleplay-personal-fantasy-v01.png,assets/synthetic-services/selected/roleplay-personal-fantasy-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,DD1D940074EEBC908A485F1359BDACE5A7A6136D708AC88C47D54290020AD3DA,960677D691B6179089187131A8761E9A98333A36D2F39A1DBBA224420585758E,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
roleplay-agreed-fetish,roleplay,assets/synthetic-services/master/roleplay-agreed-fetish-v01.png,assets/synthetic-services/selected/roleplay-agreed-fetish-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,29A54BAD57B99849A1091D1617C7DA817F9034F284C6881DB21B1774EAB18245,E75FEF7AD5C05A0A8EAE7DF30AA0B96DD659339E885AD2DACDAE1BA4A2667BB5,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
preferences-oral-complete,private-preferences,assets/synthetic-services/master/preferences-oral-complete-v01.png,assets/synthetic-services/selected/preferences-oral-complete-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,3E74560D055B3242061E94C070944DE1A1D6204065BBA8D04AD9B4E262DD0BF3,A9C3F901D235616FEBC0F72ADD3B46E39FD28F872B73CF5092F46943B17BFB4E,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
preferences-oral-natural,private-preferences,assets/synthetic-services/master/preferences-oral-natural-v01.png,assets/synthetic-services/selected/preferences-oral-natural-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,7A7C5E25D5B63EB4C3FA10D4425831AD08F74151381CA3F2861FC615550E5A3F,F70346063B75B00E346635C2009D909D2A845FEB19C97CF03FA49315DBA39162,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
preferences-oral-intense,private-preferences,assets/synthetic-services/master/preferences-oral-intense-v01.png,assets/synthetic-services/selected/preferences-oral-intense-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,6E8E827EAE5EA3B9FF87B7BB97196935A2CE0BB361A171F032DAFA503AAEA07A,59CCBCC4456448050F7E032100742272DE2352CA3DB89BB725D0F4996BBF2A2F,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
couples-open-pair,couples,assets/synthetic-services/master/couples-open-pair-v01.png,assets/synthetic-services/selected/couples-open-pair-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,69D5AC8EDD79CC64C6559FB073C45C5846E08C03EB933A924CB998A53F15CEED,7AAFAD6408DA15DB870FC91EBA25299E7FEB74C17A819D9263E0ADE86CF04540,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
roleplay-adult-games,roleplay,assets/synthetic-services/master/roleplay-adult-games-v01.png,assets/synthetic-services/selected/roleplay-adult-games-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,553A6DC607166CD07D8BC862302D8714455F315C5483CEBBBDA3ECDA69C308B3,5B6F11A13233F729DAB194838AB994F2601716724851C24CD07B469A90DC4068,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
wellbeing-kamasutra-connection,wellbeing,assets/synthetic-services/master/wellbeing-kamasutra-connection-v01.png,assets/synthetic-services/selected/wellbeing-kamasutra-connection-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,B8F422EF34FC1693C339DF7FB9E9CECA83780F3304967DE81606FCD3AEA395D1,65FA485F29EAED5DA2EB3072D981BF1456B451818C5EE933E650E34CD772EF9D,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
preferences-water-play,private-preferences,assets/synthetic-services/master/preferences-water-play-v01.png,assets/synthetic-services/selected/preferences-water-play-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,4FE02581E79DFCAC1C16E436D0C8FBAA1CD99B8CC6D0B0E97E99BA252A2D0E16,8F1AB992532B32D0EFDAE4D9D2F1F732B7AD9B729D64242D97DE264062099D06,1123x1400,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
wellbeing-sensual-massage,wellbeing,assets/synthetic-services/master/wellbeing-sensual-massage-v01.png,assets/synthetic-services/selected/wellbeing-sensual-massage-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,5C06163E7AB860715AB31EF5B11C92CE71EACA5E4899D9ED38F1B4623421AD95,64E916A4B9C2F3AE1AFE2C0ACF44AB4F5CEF2DE8CB978B745C808688E5787762,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
roleplay-editorial-pse,roleplay,assets/synthetic-services/master/roleplay-editorial-pse-v01.png,assets/synthetic-services/selected/roleplay-editorial-pse-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,639C25D3E0D12971556320633352D90CD5944065E3C01BD3B2119FB4BD2E52B0,DA53C15E18B24FE87652A25CFA8D3FCEC75080918243AD6548CCA3F26481B01C,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
roleplay-consensual-sm,roleplay,assets/synthetic-services/master/roleplay-consensual-sm-v02.png,assets/synthetic-services/selected/roleplay-consensual-sm-v02.webp,,2026-08-30T07:09:55Z,OpenAI ImageGen runtime,04E61A8C202CD6E9080DFBB486F1F173F56A47638932240DEF53170006B1372C,C396C47AFC5D70D61604647B4BA839E6E583B439DE95631212397239A140103C,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
preferences-oral-intimacy,private-preferences,assets/synthetic-services/master/preferences-oral-intimacy-v01.png,assets/synthetic-services/selected/preferences-oral-intimacy-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,75F0BB68CE327AD202966802AA3A2F18A2852D680ED931E78BA4ED000E6E6F76,F44B1CEB6848762C947583573D3B15CFF5BAEB5CFC60D649F616592FEA734755,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
roleplay-adult-accessories,roleplay,assets/synthetic-services/master/roleplay-adult-accessories-v01.png,assets/synthetic-services/selected/roleplay-adult-accessories-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,91AC8FF724FBB13E4F581E59D0F80834A27401727B810D6E553BDDE445EE20A8,087107DA5BF7617356BD8AF413A1947C65491DF922825F696634FACE563C2362,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
roleplay-private-striptease,roleplay,assets/synthetic-services/master/roleplay-private-striptease-v01.png,assets/synthetic-services/selected/roleplay-private-striptease-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,50CC5925AB5932EF461C215A20EEFA01B265DB77FA683971E12D41932ABF6B88,D0970D14B0EE7A03910C065E936B9CF1EB7A7051AB7CF639B4E59BD876E8B59E,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
company-gfe-experience,company,assets/synthetic-services/master/company-gfe-experience-v01.png,assets/synthetic-services/selected/company-gfe-experience-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,6706B7C33E64B20394DF687443E9BB5E4EE716FA81B78EFF4B25B6EF943730FF,50FA82485EEB42CA676D47C0350760E22AEA9FD1D85826491DC3DAEAA297FAFC,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
couples-private-trio,couples,assets/synthetic-services/master/couples-private-trio-v01.png,assets/synthetic-services/selected/couples-private-trio-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,108A46A4364BE06B2184664757D1DB9404AF516653B89FF13B4486B70E71C0A7,8C52D5E802724D1450DEBF1631DD2F7B188FB632D3CD0446E29DA26D57764239,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
couples-women-experience,couples,assets/synthetic-services/master/couples-women-experience-v01.png,assets/synthetic-services/selected/couples-women-experience-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,14C0EA8A4D4E85690842E22DF02BD1F1C77CDE31F7BD3BE9A410E7BB6EC31B4B,69A5BF153C6CC622F54DD0A2955DBEE2E39A99F57E9310D8039173F2EC262315,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
preferences-control-play,private-preferences,assets/synthetic-services/master/preferences-control-play-v01.png,assets/synthetic-services/selected/preferences-control-play-v01.webp,,2026-08-30T06:29:30Z,OpenAI ImageGen runtime,8645A65D36728DE1137E6E5E46D0884F8E845B9883A9DD58BAA0A76CE240C337,9A2A1A9CE19DE0927761CFD3681E97DBF950DAFC3C17D774ADCA859DDE3C4FB9,1122x1402,960x1200,true,PASS_HASH_DIMENSION_FORMAT_UNIQUE,PENDING,PENDING
